name,mass,year,lat,lng,recclass,group,fall,id
Vouillé,20000.0,1831,46.6333,0.1667,L6,Stony,Fell,24191
Wessely,3750.0,1831,48.95,17.3833,H5,Stony,Fell,24244
Walker County,74800.0,1832,34.0,-87.1667,"Iron, IIAB",Iron,Found,24204
Blansko,470.0,1833,49.3667,16.6333,H6,Stony,Fell,5072
Charwallas,12000.0,1834,29.4833,75.5,H6,Stony,Fell,5330
Okniny,12000.0,1834,50.8333,25.5,LL6,Stony,Fell,18002
Lime Creek,20000.0,1834,31.55,-87.5167,"Iron, IAB-ung",Iron,Found,14651
Aldsworth,700.0,1835,51.7833,-1.7833,LL5,Stony,Fell,461
Charlotte,4300.0,1835,36.1667,-87.3333,"Iron, IVA",Iron,Fell,5328
Aubres,800.0,1836,44.3833,5.1667,Aubrite,Stony,Fell,4893
Macau,1500.0,1836,-5.2,-36.6667,H5,Stony,Fell,15370
Mascombes,1000.0,1836,45.3667,1.8667,L6,Stony,Fell,15438
Gibeon,26000000.0,1836,-25.5,18.0,"Iron, IVA",Iron,Found,10912
Wichita County,145000.0,1836,34.0667,-98.9167,"Iron, IAB-MG",Iron,Found,24257
Esnandes,1500.0,1837,46.25,-1.1,L6,Stony,Fell,10051
Gross-Divina,10500.0,1837,49.2667,18.7167,H5,Stony,Fell,11207
Yonozu,31650.0,1837,37.75,139.0,H4/5,Stony,Fell,30366
Coahuila,2100000.0,1837,28.7,-102.7333,"Iron, IIAB",Iron,Found,5387
Cosby's Creek,960000.0,1837,35.7833,-83.25,"Iron, IAB-MG",Iron,Found,5450
Akbarpur,1800.0,1838,29.7167,77.95,H4,Stony,Fell,427
Chandakapur,8800.0,1838,20.2667,76.0167,L5,Stony,Fell,5320
Cold Bokkeveld,5200.0,1838,-33.1333,19.3833,CM2,Stony,Fell,5397
Kaee,230.0,1838,27.25,79.9667,H5,Stony,Fell,12222
Montlivault,500.0,1838,47.6333,1.5833,L6,Stony,Fell,16729
Simbirsk (of P. Partsch),1500.0,1838,54.3,48.4,OC,Stony,Found,23602
Slobodka (of P. Partsch),950.0,1838,55.0,35.0,L6,Stony,Found,23646
Little Piney,491.0,1839,37.9167,-92.0833,L5,Stony,Fell,14664
Asheville,800.0,1839,35.5833,-82.5333,"Iron, IIIAB",Iron,Found,2347
Black Mountain,800.0,1839,35.5833,-82.35,"Iron, IAB-MG",Iron,Found,5066
Putnam County,32700.0,1839,33.25,-83.25,"Iron, IVA",Iron,Found,18906
Smithland,5000.0,1839,37.1333,-88.4,"Iron, IVA",Iron,Found,23650
Cereseto,6460.0,1840,45.0833,8.3,H5,Stony,Fell,5308
Karakol,3000.0,1840,47.2167,81.0167,LL6,Stony,Fell,12256
Uden,710.0,1840,51.65,5.6167,LL7,Stony,Fell,24103
Abo,1.2,1840,60.4333,22.3,H,Stony,Found,8
Carthage,127000.0,1840,36.2667,-85.9833,"Iron, IIIAB",Iron,Found,5282
Magura,150000.0,1840,49.3333,19.4833,"Iron, IAB-MG",Iron,Found,15388
Smithville,70500.0,1840,35.9833,-85.85,"Iron, IAB-MG",Iron,Found,23654
Château-Renard,30000.0,1841,47.9333,2.9167,L6,Stony,Fell,5332
Grüneberg,1000.0,1841,51.9333,15.5,H4,Stony,Fell,11426
St. Christophe-la-Chartreuse,5500.0,1841,46.95,-1.5,L6,Stony,Fell,23082
Petropavlovsk,7000.0,1841,53.35,87.1833,"Iron, ungrouped",Iron,Found,18803
Aumieres,2000.0,1842,44.3333,3.2333,L6,Stony,Fell,4900
Barea,3200.0,1842,42.3833,-2.5,Mesosiderite-A1,Stony-Iron,Fell,4946
Milena,10000.0,1842,46.1833,16.1,L6,Stony,Fell,16640
Myhee Caunta,0.0,1842,23.05,72.6333,OC,Stony,Fell,16887
Babb's Mill (Troost's Iron),6400.0,1842,36.3,-82.8833,"Iron, ungrouped",Iron,Found,4916
Bishopville,6000.0,1843,34.1667,-80.2833,Aubrite,Stony,Fell,5059
Klein-Wenden,3250.0,1843,51.6,10.8,H6,Stony,Fell,12332
Manegaon,50.0,1843,20.9667,76.1,Diogenite,Stony,Fell,15403
Picote,0.0,1843,41.3667,-6.2333,Stone-uncl,Stony,Fell,18816
Utrecht,9700.0,1843,52.1167,5.1833,L6,Stony,Fell,24135
Verkhne Tschirskaia,8000.0,1843,48.4167,43.2,H5,Stony,Fell,24165
Berdyansk,2250.0,1843,46.75,36.8167,L6,Stony,Found,5027
Cosina,1200.0,1844,21.1667,-100.8667,H5,Stony,Fell,5451
Favars,1500.0,1844,44.3833,2.8167,H5,Stony,Fell,10078
Killeter,140.0,1844,54.6667,-7.6667,H6,Stony,Fell,12309
Ruff's Mountain,53070.0,1844,34.3,-81.4,"Iron, IIIAB",Iron,Found,22779
Le Pressoir,3000.0,1845,47.1667,0.4333,H5,Stony,Fell,12748
Le Teilleul,780.0,1845,48.5333,-0.8667,Howardite,Stony,Fell,12749
Barratta,200000.0,1845,-35.3,144.5667,L4,Stony,Found,4951
Cape Girardeau,2300.0,1846,37.2667,-89.5833,H6,Stony,Fell,5260
Monte Milone,3130.0,1846,43.2667,13.35,L5,Stony,Fell,16726
Schönenberg,8000.0,1846,48.1167,10.4667,L6,Stony,Fell,23460
Assam,2700.0,1846,26.0,92.0,L5,Stony,Found,2351
Deep Springs,11500.0,1846,36.5,-79.75,"Iron, ungrouped",Iron,Found,6637
Jackson County,450.0,1846,36.4167,-85.5,"Iron, IIIAB",Iron,Found,12066
Netschaëvo,250000.0,1846,54.2333,35.15,"Iron, IIE-an",Iron,Found,16949
Braunau,39000.0,1847,50.6,16.3,"Iron, IIAB",Iron,Fell,5133
Marion (Iowa),28400.0,1847,41.9,-91.6,L6,Stony,Fell,15424
Murfreesboro,8600.0,1847,35.8333,-86.4167,"Iron, ungrouped",Iron,Found,16877
Seeläsgen,102000.0,1847,52.2667,15.55,"Iron, IAB-MG",Iron,Found,23474
Singhur,14180.0,1847,18.3167,73.9167,Pallasite?,Stony-Iron,Found,23612
Castine,94.0,1848,44.3833,-68.75,L6,Stony,Fell,5293
Dharwar,1800.0,1848,14.8833,75.6,OC,Stony,Fell,6699
Marmande,3000.0,1848,44.5,0.15,L5,Stony,Fell,15429
Ski,850.0,1848,59.7333,10.8667,L6,Stony,Fell,23621
Monroe,8600.0,1849,35.25,-80.5,H4,Stony,Fell,16720
Chesterville,16500.0,1849,34.7,-81.2,"Iron, IIAB",Iron,Found,5343
Fukue,7.3,1849,32.7,128.85,Iron,Iron,Found,10835
Kesen,135000.0,1850,38.9833,141.6167,H4,Stony,Fell,12286
Shalka,4000.0,1850,23.1,87.3,Diogenite,Stony,Fell,23521
Botetourt County,500.0,1850,37.5,-79.75,Iron,Iron,Found,5116
Pittsburg,600.0,1850,40.4333,-80.0,"Iron, IAB-MG",Iron,Found,18838
Salt River,3600.0,1850,37.95,-85.7833,"Iron, IIC",Iron,Found,23113
Schwetz,21500.0,1850,53.4,18.45,"Iron, IIIAB",Iron,Found,23461
Seneca Falls,4000.0,1850,42.9167,-76.7833,"Iron, IIIAB",Iron,Found,23498
Tucson,975000.0,1850,31.85,-110.9667,"Iron, ungrouped",Iron,Found,24061
Gütersloh,1000.0,1851,51.9167,8.3833,H3/4,Stony,Fell,11466
Nulles,5000.0,1851,41.6333,0.75,H6,Stony,Fell,17959
Quincay,65.0,1851,46.6,0.25,L6,Stony,Fell,22363
Borkut,7000.0,1852,48.15,24.2833,L5,Stony,Fell,5113
Bustee,1500.0,1852,26.7833,82.8333,Aubrite,Stony,Fell,5181
Mezö-Madaras,22700.0,1852,46.5,25.7333,L3.7,Stony,Fell,16628
Yatoor,13600.0,1852,14.3,79.7667,H5,Stony,Fell,30358
Chupaderos,24300000.0,1852,27.0,-105.1,"Iron, IIIAB",Iron,Found,5363
Cranberry Plains,90.0,1852,37.2333,-80.7333,"Iron, IVA",Iron,Found,5462
Mainz,1700.0,1852,50.0,8.2667,L6,Stony,Found,15389
Rodeo,44000.0,1852,25.3333,-104.6667,"Iron, IID",Iron,Found,22643
Duruma,577.0,1853,-4.0,39.5,L6,Stony,Fell,7752
Girgenti,18000.0,1853,37.3167,13.5667,L6,Stony,Fell,10917
Segowlie,6930.0,1853,26.75,84.7833,LL6,Stony,Fell,23476
Tazewell,27000.0,1853,36.4333,-83.75,"Iron, IAB-sLH",Iron,Found,23891
Union County,6800.0,1853,34.75,-84.0,"Iron, IC",Iron,Found,24122
Linum,1862.0,1854,52.75,12.9,L6,Stony,Fell,14655
Cranbourne,8600000.0,1854,-38.1,145.3,"Iron, IAB-MG",Iron,Found,5463
Duel Hill (1854),21800.0,1854,35.85,-82.7,"Iron, IVA",Iron,Found,7738
Emmitsburg,450.0,1854,39.7167,-77.3,"Iron, IIIAB?",Iron,Found,10034
Madoc,168000.0,1854,44.5,-77.4667,"Iron, IIIAB",Iron,Found,15381
Oktibbeha County,156.0,1854,33.5,-89.0,"Iron, IAB-ung",Iron,Found,18003
